lead_id,email_sequence_step,subject_line,sent_at,opened,clicked,replied
479,1,Raymond and Sons - Improving project delivery with CloudFlow,2025-04-04 02:23:36.745207,1,0,0
2722,1,Avila Ltd - Improving project delivery with CloudFlow,2025-02-16 11:53:20.745207,0,0,0
2722,2,Avila Ltd - Improving project delivery with CloudFlow,2025-02-18 11:22:00.745207,1,0,0
2722,3,Avila Ltd - Improving project delivery with CloudFlow,2025-02-19 12:44:19.745207,0,0,0
2722,4,Avila Ltd - Improving project delivery with CloudFlow,2025-03-15 17:18:38.745207,0,0,0
2722,5,Avila Ltd - Improving project delivery with CloudFlow,2025-04-13 04:14:44.745207,0,0,0
2722,6,Avila Ltd - Improving project delivery with CloudFlow,2025-04-04 08:17:07.745207,0,0,0
2722,7,Avila Ltd - Improving project delivery with CloudFlow,2025-03-23 18:14:59.745207,0,0,0
2853,1,Andrade Inc - Improving project delivery with CloudFlow,2025-03-15 20:16:27.745207,0,0,0
2853,2,Andrade Inc - Improving project delivery with CloudFlow,2025-03-08 18:01:39.745207,0,0,0
2853,3,Andrade Inc - Improving project delivery with CloudFlow,2025-02-19 23:42:03.745207,0,0,0
4762,1,Johnson-Hale - Improving project delivery with CloudFlow,2025-03-06 19:43:48.745207,0,0,0
4762,2,Johnson-Hale - Improving project delivery with CloudFlow,2025-02-16 12:45:03.745207,0,0,0
4762,3,Johnson-Hale - Improving project delivery with CloudFlow,2025-02-15 00:14:03.745207,0,0,0
4762,4,Johnson-Hale - Improving project delivery with CloudFlow,2025-04-01 14:43:23.745207,1,0,0
4869,1,Harper LLC - Improving project delivery with CloudFlow,2025-04-03 07:15:36.745207,0,0,0
4869,2,Harper LLC - Improving project delivery with CloudFlow,2025-02-22 05:38:36.745207,0,0,0
4869,3,Harper LLC - Improving project delivery with CloudFlow,2025-03-23 18:16:43.745207,0,0,0
4869,4,Harper LLC - Improving project delivery with CloudFlow,2025-04-06 09:00:31.745207,0,0,0
4869,5,Harper LLC - Improving project delivery with CloudFlow,2025-02-21 11:58:13.745207,0,0,0
4869,6,Harper LLC - Improving project delivery with CloudFlow,2025-03-01 07:19:39.745207,1,0,0
4869,7,Harper LLC - Improving project delivery with CloudFlow,2025-03-14 11:57:06.745207,0,0,0
4869,8,Harper LLC - Improving project delivery with CloudFlow,2025-02-19 08:13:26.745207,0,0,0
4869,9,Harper LLC - Improving project delivery with CloudFlow,2025-03-12 14:28:41.745207,0,0,0
4869,10,Harper LLC - Improving project delivery with CloudFlow,2025-02-16 08:04:31.745207,0,0,0
2460,1,Mccormick-Jackson - Improving project delivery with CloudFlow,2025-02-19 20:03:22.745207,0,0,0
2460,2,Mccormick-Jackson - Improving project delivery with CloudFlow,2025-03-07 23:33:53.745207,1,0,0
2460,3,Mccormick-Jackson - Improving project delivery with CloudFlow,2025-03-06 17:04:06.745207,0,0,0
2460,4,Mccormick-Jackson - Improving project delivery with CloudFlow,2025-03-12 21:37:29.745207,0,0,0
2460,5,Mccormick-Jackson - Improving project delivery with CloudFlow,2025-04-12 06:57:38.745207,0,0,0
2460,6,Mccormick-Jackson - Improving project delivery with CloudFlow,2025-03-12 03:53:33.745207,0,0,0
2460,7,Mccormick-Jackson - Improving project delivery with CloudFlow,2025-04-02 07:04:51.745207,1,0,0
4159,1,Goodman-Romero - Improving project delivery with CloudFlow,2025-04-11 21:56:56.745207,0,0,0
4446,1,Crawford PLC - Improving project delivery with CloudFlow,2025-03-22 04:13:49.745207,1,0,0
4446,2,Crawford PLC - Improving project delivery with CloudFlow,2025-02-18 13:04:06.745207,0,0,0
4446,3,Crawford PLC - Improving project delivery with CloudFlow,2025-02-20 05:30:32.745207,1,0,0
4446,4,Crawford PLC - Improving project delivery with CloudFlow,2025-03-24 17:51:37.745207,0,0,0
4446,5,Crawford PLC - Improving project delivery with CloudFlow,2025-03-01 23:46:19.745207,0,0,0
4446,6,Crawford PLC - Improving project delivery with CloudFlow,2025-02-27 07:23:42.745207,0,0,0
4446,7,Crawford PLC - Improving project delivery with CloudFlow,2025-04-03 18:54:24.745207,1,0,0
2104,1,Graham-Schroeder - Improving project delivery with CloudFlow,2025-04-02 11:22:01.745207,0,0,0
2104,2,Graham-Schroeder - Improving project delivery with CloudFlow,2025-02-20 05:23:25.745207,0,0,0
2104,3,Graham-Schroeder - Improving project delivery with CloudFlow,2025-04-07 16:11:26.745207,0,0,0
2104,4,Graham-Schroeder - Improving project delivery with CloudFlow,2025-03-24 00:57:20.745207,1,0,0
2104,5,Graham-Schroeder - Improving project delivery with CloudFlow,2025-02-28 15:19:01.745207,1,0,0
3977,1,Johns Group - Improving project delivery with CloudFlow,2025-04-03 09:28:26.745207,0,0,0
3977,2,Johns Group - Improving project delivery with CloudFlow,2025-03-27 02:17:12.745207,0,0,0
3977,3,Johns Group - Improving project delivery with CloudFlow,2025-03-22 15:07:55.745207,1,1,0
3977,4,Johns Group - Improving project delivery with CloudFlow,2025-04-05 13:59:35.745207,0,0,0
